checking_status,duration_new,credit_history,purpose,credit_amount,credit_amount_new,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,own_telephone,foreign_worker,class
A11,6,A34,A43,1169,1,A65,A75,4,A93,A101,4,A121,67,A143,A152,2,A173,A192,A201,1
A12,48,A32,A43,5951,2,A61,A73,2,A92,A101,2,A121,22,A143,A152,1,A173,A191,A201,2
A14,12,A34,A43,2096,1,A61,A74,2,A93,A101,3,A121,49,A143,A152,1,A172,A191,A201,1
A11,42,A32,A43,7882,3,A61,A74,2,A93,A103,4,A122,45,A143,A153,1,A173,A191,A201,1
A11,24,A33,A40,4870,2,A61,A73,3,A93,A101,4,A124,53,A143,A153,2,A173,A191,A201,2
A14,20.863454,A32,A43,9055,3,A65,A73,2,A93,A101,4,A124,35,A143,A153,1,A172,A192,A201,1
A14,24,A32,A42,2835,1,A63,A75,3,A93,A101,4,A122,53,A143,A152,1,A173,A191,A201,1
A12,36,A32,A41,6948,3,A61,A73,2,A93,A101,2,A123,35,A143,A151,1,A174,A192,A201,1
A14,12,A32,A43,3059,1,A64,A74,2,A91,A101,4,A121,61,A143,A152,1,A172,A191,A201,1
A12,30,A34,A43,5234,2,A61,A71,4,A94,A101,2,A123,28,A143,A152,2,A174,A191,A201,2
A12,12,A32,A40,1295,1,A61,A72,3,A92,A101,1,A123,25,A143,A151,1,A173,A191,A201,2
A11,20.863454,A32,A49,4308,2,A61,A72,3,A92,A101,4,A122,24,A143,A151,1,A173,A191,A201,2
A12,12,A32,A43,1567,1,A61,A73,1,A92,A101,1,A123,22,A143,A152,1,A173,A192,A201,1
A11,24,A34,A40,1199,1,A61,A75,4,A93,A101,4,A123,60,A143,A152,2,A172,A191,A201,2
A11,20.863454,A32,A40,1403,1,A61,A73,2,A92,A101,4,A123,28,A143,A151,1,A173,A191,A201,1
A11,24,A32,A43,1282,1,A62,A73,4,A92,A101,2,A123,32,A143,A152,1,A172,A191,A201,2
A14,20.863454,A34,A43,2424,1,A65,A75,4,A93,A101,4,A122,53,A143,A152,2,A173,A191,A201,1
A11,30,A30,A49,8072,3,A65,A72,2,A93,A101,3,A123,25,A141,A152,3,A173,A191,A201,1
A12,24,A32,A41,12579,4,A61,A75,4,A92,A101,2,A124,44,A143,A153,1,A174,A192,A201,2
A14,24,A32,A43,3430,1,A63,A75,3,A93,A101,2,A123,31,A143,A152,1,A173,A192,A201,1
A14,9,A34,A40,2134,1,A61,A73,4,A93,A101,4,A123,48,A143,A152,3,A173,A192,A201,1
A11,6,A32,A43,2647,1,A63,A73,2,A93,A101,3,A121,44,A143,A151,1,A173,A191,A201,1
A11,10,A34,A40,2241,1,A61,A72,1,A93,A101,3,A121,48,A143,A151,2,A172,A191,A202,1
A12,12,A34,A41,1804,1,A62,A72,3,A93,A101,4,A122,44,A143,A152,1,A173,A191,A201,1
A14,10,A34,A42,2069,1,A65,A73,2,A94,A101,1,A123,26,A143,A152,2,A173,A191,A202,1
A11,6,A32,A42,1374,1,A61,A73,1,A93,A101,2,A121,36,A141,A152,1,A172,A192,A201,1
A14,6,A30,A43,426,1,A61,A75,4,A94,A101,4,A123,39,A143,A152,1,A172,A191,A201,1
A13,12,A31,A43,409,1,A64,A73,3,A92,A101,3,A121,42,A143,A151,2,A173,A191,A201,1
A12,7,A32,A43,2415,1,A61,A73,3,A93,A103,2,A121,34,A143,A152,1,A173,A191,A201,1
A11,56.9,A33,A49,6836,3,A61,A75,3,A93,A101,4,A124,63,A143,A152,2,A173,A192,A201,2
A12,18,A32,A49,1913,1,A64,A72,3,A94,A101,3,A121,36,A141,A152,1,A173,A192,A201,1
A11,24,A32,A42,4020,2,A61,A73,2,A93,A101,2,A123,27,A142,A152,1,A173,A191,A201,1
A12,18,A32,A40,5866,2,A62,A73,2,A93,A101,2,A123,30,A143,A152,2,A173,A192,A201,1
A14,12,A34,A49,1264,1,A65,A75,4,A93,A101,4,A124,57,A143,A151,1,A172,A191,A201,1
A13,12,A32,A42,1474,1,A61,A72,4,A92,A101,1,A122,33,A141,A152,1,A174,A192,A201,1
A12,45,A34,A43,4746,2,A61,A72,4,A93,A101,2,A122,25,A143,A152,2,A172,A191,A201,2
A14,48,A34,A46,6110,2,A61,A73,1,A93,A101,3,A124,31,A141,A153,1,A173,A192,A201,1
A13,18,A32,A43,2100,1,A61,A73,4,A93,A102,2,A121,37,A142,A152,1,A173,A191,A201,2
A13,10,A32,A44,1225,1,A61,A73,2,A93,A101,2,A123,37,A143,A152,1,A173,A192,A201,1
A12,9,A32,A43,458,1,A61,A73,4,A93,A101,3,A121,24,A143,A152,1,A173,A191,A201,1
A14,30,A32,A43,2333,1,A63,A75,4,A93,A101,2,A123,30,A141,A152,1,A174,A191,A201,1
A12,12,A32,A43,1158,1,A63,A73,3,A91,A101,1,A123,26,A143,A152,1,A173,A192,A201,1
A12,18,A33,A45,6204,2,A61,A73,2,A93,A101,4,A121,44,A143,A152,1,A172,A192,A201,1
A11,30,A34,A41,6187,2,A62,A74,1,A94,A101,4,A123,24,A143,A151,2,A173,A191,A201,1
A11,48,A34,A41,6143,2,A61,A75,4,A92,A101,4,A124,58,A142,A153,2,A172,A191,A201,2
A14,11,A34,A40,1393,1,A61,A72,4,A92,A101,4,A123,35,A143,A152,2,A174,A191,A201,1
A14,36,A32,A43,2299,1,A63,A75,4,A93,A101,4,A123,39,A143,A152,1,A173,A191,A201,1
A11,6,A32,A41,1352,1,A63,A71,1,A92,A101,2,A122,23,A143,A151,1,A171,A192,A201,1
A14,11,A34,A40,7228,3,A61,A73,1,A93,A101,4,A122,39,A143,A152,2,A172,A191,A201,1
A14,12,A32,A43,2073,1,A62,A73,4,A92,A102,2,A121,28,A143,A152,1,A173,A191,A201,1
A12,24,A33,A42,2333,1,A65,A72,4,A93,A101,2,A122,29,A141,A152,1,A172,A191,A201,1
A12,27,A33,A41,5965,2,A61,A75,1,A93,A101,2,A123,30,A143,A152,2,A174,A192,A201,1
A14,12,A32,A43,1262,1,A61,A73,3,A93,A101,2,A123,25,A143,A152,1,A173,A191,A201,1
A14,18,A32,A41,3378,1,A65,A73,2,A93,A101,1,A122,31,A143,A152,1,A173,A192,A201,1
A12,36,A33,A40,2225,1,A61,A75,4,A93,A101,4,A124,57,A141,A153,2,A173,A192,A201,2
A14,6,A31,A40,783,1,A65,A73,1,A93,A103,2,A121,26,A142,A152,1,A172,A191,A201,1
A12,12,A32,A43,6468,2,A65,A71,2,A93,A101,1,A124,52,A143,A152,1,A174,A192,A201,2
A14,36,A34,A43,9566,3,A61,A73,2,A92,A101,2,A123,31,A142,A152,2,A173,A191,A201,1
A13,18,A32,A40,1961,1,A61,A75,3,A92,A101,2,A123,23,A143,A152,1,A174,A191,A201,1
A11,36,A34,A42,6229,2,A61,A72,4,A92,A102,4,A124,23,A143,A151,2,A172,A192,A201,2
A12,9,A32,A49,1391,1,A61,A73,2,A94,A101,1,A121,27,A141,A152,1,A173,A192,A201,1
A12,15,A34,A43,1537,1,A65,A75,4,A93,A103,4,A121,50,A143,A152,2,A173,A192,A201,1
A12,36,A30,A49,1953,1,A61,A75,4,A93,A101,4,A124,61,A143,A153,1,A174,A192,A201,2
A12,48,A30,A49,14421,4,A61,A73,2,A93,A101,2,A123,25,A143,A152,1,A173,A192,A201,2
A14,24,A32,A43,3181,1,A61,A72,4,A92,A101,4,A122,26,A143,A152,1,A173,A192,A201,1
A14,27,A32,A45,5190,2,A65,A75,4,A93,A101,4,A122,48,A143,A152,4,A173,A192,A201,1
A14,12,A32,A43,2171,1,A61,A72,2,A92,A101,2,A123,29,A141,A152,1,A173,A191,A201,1
A12,12,A32,A40,1007,1,A64,A73,4,A94,A101,1,A121,22,A143,A152,1,A173,A191,A201,1
A14,36,A32,A46,1819,1,A61,A73,4,A93,A101,4,A124,37,A142,A153,1,A173,A192,A201,2
A14,36,A32,A43,2394,1,A65,A73,4,A92,A101,4,A123,25,A143,A152,1,A173,A191,A201,1
A14,36,A32,A41,8133,3,A61,A73,1,A92,A101,2,A122,30,A141,A152,1,A173,A191,A201,1
A14,7,A34,A43,730,1,A65,A75,4,A93,A101,2,A122,46,A143,A151,2,A172,A192,A201,1
A11,8,A34,A410,1164,1,A61,A75,3,A93,A101,4,A124,51,A141,A153,2,A174,A192,A201,1
A12,42,A34,A49,5954,2,A61,A74,2,A92,A101,1,A121,41,A141,A152,2,A172,A191,A201,1
A11,36,A32,A46,1977,1,A65,A75,4,A93,A101,4,A124,40,A143,A152,1,A174,A192,A201,2
A11,12,A34,A41,1526,1,A61,A75,4,A93,A101,4,A124,66,A143,A153,2,A174,A191,A201,1
A11,42,A32,A43,3965,2,A61,A72,4,A93,A101,3,A123,34,A143,A152,1,A173,A191,A201,2
A12,11,A33,A43,4771,2,A61,A74,2,A93,A101,4,A122,51,A143,A152,1,A173,A191,A201,1
A14,54,A30,A41,9436,3,A65,A73,2,A93,A101,2,A122,39,A143,A152,1,A172,A191,A201,1
A12,30,A32,A42,3832,1,A61,A72,2,A94,A101,1,A122,22,A143,A152,1,A173,A191,A201,1
A14,24,A32,A43,5943,2,A65,A72,1,A92,A101,1,A123,44,A143,A152,2,A173,A192,A201,2
A14,15,A32,A43,1213,1,A63,A75,4,A93,A101,3,A122,47,A142,A152,1,A173,A192,A201,1
A14,18,A32,A49,1568,1,A62,A73,3,A92,A101,4,A122,24,A143,A151,1,A172,A191,A201,1
A11,24,A32,A410,1755,1,A61,A75,4,A92,A103,4,A121,58,A143,A152,1,A172,A192,A201,1
A11,10,A32,A43,2315,1,A61,A75,3,A93,A101,4,A121,52,A143,A152,1,A172,A191,A201,1
A14,12,A34,A49,1412,1,A61,A73,4,A92,A103,2,A121,29,A143,A152,2,A174,A192,A201,1
A12,18,A34,A42,1295,1,A61,A72,4,A92,A101,1,A122,27,A143,A152,2,A173,A191,A201,1
A12,36,A32,A46,12612,4,A62,A73,1,A93,A101,4,A124,47,A143,A153,1,A173,A192,A201,2
A11,18,A32,A40,2249,1,A62,A74,4,A93,A101,3,A123,30,A143,A152,1,A174,A192,A201,1
A11,12,A30,A45,1108,1,A61,A74,4,A93,A101,3,A121,28,A143,A152,2,A173,A191,A201,2
A14,12,A34,A43,618,1,A61,A75,4,A93,A101,4,A121,56,A143,A152,1,A173,A191,A201,1
A11,12,A34,A41,1409,1,A61,A75,4,A93,A101,3,A121,54,A143,A152,1,A173,A191,A201,1
A14,12,A34,A43,797,1,A65,A75,4,A92,A101,3,A122,33,A141,A152,1,A172,A191,A201,2
A13,24,A34,A42,3617,1,A65,A75,4,A93,A102,4,A124,20,A143,A151,2,A173,A191,A201,1
A12,12,A32,A40,1318,1,A64,A75,4,A93,A101,4,A121,54,A143,A152,1,A173,A192,A201,1
A12,54,A30,A49,15945,4,A61,A72,3,A93,A101,4,A124,58,A143,A151,1,A173,A192,A201,2
A14,12,A34,A46,2012,1,A65,A74,4,A92,A101,2,A123,61,A143,A152,1,A173,A191,A201,1
A12,18,A32,A49,2622,1,A62,A73,4,A93,A101,4,A123,34,A143,A152,1,A173,A191,A201,1
A12,36,A34,A43,2337,1,A61,A75,4,A93,A101,4,A121,36,A143,A152,1,A173,A191,A201,1
A12,20,A33,A41,7057,3,A65,A74,3,A93,A101,4,A122,36,A141,A151,2,A174,A192,A201,1
A14,24,A32,A40,1469,1,A62,A75,4,A94,A101,4,A121,41,A143,A151,1,A172,A191,A201,1
A12,36,A32,A43,2323,1,A61,A74,4,A93,A101,4,A123,24,A143,A151,1,A173,A191,A201,1
A14,6,A33,A43,932,1,A61,A73,3,A92,A101,2,A121,24,A143,A152,1,A173,A191,A201,1
A12,9,A34,A42,1919,1,A61,A74,4,A93,A101,3,A123,35,A143,A151,1,A173,A192,A201,1
A14,12,A32,A41,2445,1,A65,A72,2,A94,A101,4,A123,26,A143,A151,1,A173,A192,A201,1
A12,24,A34,A410,11938,3,A61,A73,2,A93,A102,3,A123,39,A143,A152,2,A174,A192,A201,2
A14,18,A31,A40,6458,2,A61,A75,2,A93,A101,4,A124,39,A141,A152,2,A174,A192,A201,2
A12,12,A32,A40,6078,2,A61,A74,2,A93,A101,2,A123,32,A143,A152,1,A173,A191,A201,1
A11,24,A32,A42,7721,3,A65,A72,1,A92,A101,2,A122,30,A143,A152,1,A173,A192,A202,1
A12,14,A32,A49,1410,1,A63,A75,1,A94,A101,2,A121,35,A143,A152,1,A173,A192,A201,1
A12,6,A33,A49,1449,1,A62,A75,1,A91,A101,2,A123,31,A141,A152,2,A173,A191,A201,1
A13,15,A32,A46,392,1,A61,A72,4,A92,A101,4,A122,23,A143,A151,1,A173,A192,A201,1
A12,18,A32,A40,6260,2,A61,A74,3,A93,A101,3,A121,28,A143,A151,1,A172,A191,A201,1
A14,36,A34,A40,7855,3,A61,A73,4,A92,A101,2,A121,25,A142,A152,2,A173,A192,A201,2
A11,12,A32,A43,1680,1,A63,A75,3,A94,A101,1,A121,35,A143,A152,1,A173,A191,A201,1
A14,48,A34,A43,3578,1,A65,A75,4,A93,A101,1,A121,47,A143,A152,1,A173,A192,A201,1
A11,42,A32,A43,7174,3,A65,A74,4,A92,A101,3,A123,30,A143,A152,1,A174,A192,A201,2
A11,10,A34,A42,2132,1,A65,A72,2,A92,A102,3,A121,27,A143,A151,2,A173,A191,A202,1
A11,33,A34,A42,4281,2,A63,A73,1,A92,A101,4,A123,23,A143,A152,2,A173,A191,A201,2
A12,12,A34,A40,2366,1,A63,A74,3,A91,A101,3,A123,36,A143,A152,1,A174,A192,A201,1
A11,21,A32,A43,1835,1,A61,A73,3,A92,A101,2,A121,25,A143,A152,2,A173,A192,A201,2
A14,24,A34,A41,3868,1,A61,A75,4,A92,A101,2,A123,41,A143,A151,2,A174,A192,A201,1
A14,12,A32,A42,1768,1,A61,A73,3,A93,A101,2,A121,24,A143,A151,1,A172,A191,A201,1
A13,10,A34,A40,781,1,A61,A75,4,A93,A101,4,A124,63,A143,A153,2,A173,A192,A201,1
A12,18,A32,A42,1924,1,A65,A72,4,A92,A101,3,A121,27,A143,A151,1,A173,A191,A201,2
A11,12,A34,A40,2121,1,A61,A73,4,A93,A101,2,A122,30,A143,A152,2,A173,A191,A201,1
A11,12,A32,A43,701,1,A61,A73,4,A94,A101,2,A121,40,A143,A152,1,A172,A191,A201,1
A12,12,A32,A45,639,1,A61,A73,4,A93,A101,2,A123,30,A143,A152,1,A173,A191,A201,2
A12,12,A34,A41,1860,1,A61,A71,4,A93,A101,2,A123,34,A143,A152,2,A174,A192,A201,1
A11,12,A34,A40,3499,1,A61,A73,3,A92,A102,2,A121,29,A143,A152,2,A173,A191,A201,2
A12,48,A32,A40,8487,3,A65,A74,1,A92,A101,2,A123,24,A143,A152,1,A173,A191,A201,1
A11,36,A33,A46,6887,3,A61,A73,4,A93,A101,3,A122,29,A142,A152,1,A173,A192,A201,2
A14,15,A32,A42,2708,1,A61,A72,2,A93,A101,3,A122,27,A141,A152,2,A172,A191,A201,1
A14,18,A32,A42,1984,1,A61,A73,4,A93,A101,4,A124,47,A141,A153,2,A173,A191,A201,1
A14,56.9,A32,A43,10144,3,A62,A74,2,A92,A101,4,A121,21,A143,A152,1,A173,A192,A201,1
A14,12,A34,A43,1240,1,A65,A75,4,A92,A101,2,A121,38,A143,A152,2,A173,A192,A201,1
A14,27,A33,A41,8613,3,A64,A73,2,A93,A101,2,A123,27,A143,A152,2,A173,A191,A201,1
A12,12,A32,A43,766,1,A63,A73,4,A93,A101,3,A121,66,A143,A152,1,A172,A191,A201,2
A12,15,A34,A43,2728,1,A65,A74,4,A93,A103,2,A121,35,A141,A152,3,A173,A192,A201,1
A13,12,A32,A43,1881,1,A61,A73,2,A92,A101,2,A123,44,A143,A151,1,A172,A192,A201,1
A13,6,A32,A40,709,1,A64,A72,2,A94,A101,2,A121,27,A143,A152,1,A171,A191,A202,1
A12,36,A32,A43,4795,2,A61,A72,4,A92,A101,1,A124,30,A143,A152,1,A174,A192,A201,1
A11,27,A32,A43,3416,1,A61,A73,3,A93,A101,2,A123,27,A143,A152,1,A174,A191,A201,1
A11,18,A32,A42,2462,1,A61,A73,2,A93,A101,2,A123,22,A143,A152,1,A173,A191,A201,2
A14,21,A34,A42,2288,1,A61,A72,4,A92,A101,4,A122,23,A143,A152,1,A173,A192,A201,1
A12,48,A31,A49,3566,1,A62,A74,4,A93,A101,2,A123,30,A143,A152,1,A173,A191,A201,1
A11,6,A34,A40,860,1,A61,A75,1,A92,A101,4,A124,39,A143,A152,2,A173,A192,A201,1
A14,12,A34,A40,682,1,A62,A74,4,A92,A101,3,A123,51,A143,A152,2,A173,A192,A201,1
A11,36,A34,A42,5371,2,A61,A73,3,A93,A103,2,A122,28,A143,A152,2,A173,A191,A201,1
A14,18,A34,A43,1582,1,A64,A75,4,A93,A101,4,A123,46,A143,A152,2,A173,A191,A201,1
A14,6,A32,A43,1346,1,A62,A75,2,A93,A101,4,A124,42,A141,A153,1,A173,A192,A201,1
A14,10,A32,A43,1924,1,A61,A73,1,A93,A101,4,A122,38,A143,A152,1,A173,A192,A202,1
A13,36,A32,A43,5848,2,A61,A73,4,A93,A101,1,A123,24,A143,A152,1,A173,A191,A201,1
A12,24,A34,A41,7758,3,A64,A75,2,A92,A101,4,A124,29,A143,A151,1,A173,A191,A201,1
A12,24,A33,A49,6967,3,A62,A74,4,A93,A101,4,A123,36,A143,A151,1,A174,A192,A201,1
A11,12,A32,A42,1282,1,A61,A73,2,A92,A101,4,A123,20,A143,A151,1,A173,A191,A201,2
A11,9,A34,A45,1288,1,A62,A75,3,A93,A103,4,A121,48,A143,A152,2,A173,A191,A202,1
A11,12,A31,A48,339,1,A61,A75,4,A94,A101,1,A123,45,A141,A152,1,A172,A191,A201,1
A12,24,A32,A40,3512,1,A62,A74,2,A93,A101,3,A123,38,A141,A152,2,A173,A192,A201,1
A14,6,A34,A43,1898,1,A65,A73,1,A93,A101,2,A121,34,A143,A152,2,A172,A191,A201,1
A14,24,A34,A43,2872,1,A62,A75,3,A93,A101,4,A121,36,A143,A152,1,A173,A192,A201,1
A14,18,A34,A40,1055,1,A61,A72,4,A92,A101,1,A122,30,A143,A152,2,A173,A191,A201,1
A14,15,A32,A44,1262,1,A63,A74,4,A93,A101,3,A122,36,A143,A152,2,A173,A192,A201,1
A12,10,A32,A40,7308,3,A61,A71,2,A93,A101,4,A124,70,A141,A153,1,A174,A192,A201,1
A14,36,A32,A40,909,1,A63,A75,4,A93,A101,4,A122,36,A143,A152,1,A173,A191,A201,1
A14,6,A32,A42,2978,1,A63,A73,1,A93,A101,2,A123,32,A143,A152,1,A173,A192,A201,1
A11,18,A32,A42,1131,1,A61,A71,4,A92,A101,2,A123,33,A143,A152,1,A173,A191,A201,2
A12,11,A32,A42,1577,1,A64,A72,4,A92,A101,1,A121,20,A143,A152,1,A173,A191,A201,1
A14,24,A32,A42,3972,2,A61,A74,2,A92,A101,4,A122,25,A143,A151,1,A173,A192,A201,1
A12,24,A34,A49,1935,1,A61,A75,4,A91,A101,4,A121,31,A143,A152,2,A173,A192,A201,2
A11,15,A30,A40,950,1,A61,A75,4,A93,A101,3,A123,33,A143,A151,2,A173,A191,A201,2
A14,12,A32,A42,763,1,A61,A73,4,A92,A101,1,A121,26,A143,A152,1,A173,A192,A201,1
A12,24,A33,A42,2064,1,A61,A71,3,A92,A101,2,A122,34,A143,A152,1,A174,A192,A201,2
A12,8,A32,A43,1414,1,A61,A73,4,A93,A103,2,A121,33,A143,A152,1,A173,A191,A202,1
A11,21,A33,A46,3414,1,A61,A72,2,A93,A101,1,A122,26,A143,A152,2,A173,A191,A201,2
A14,30,A31,A41,7485,3,A65,A71,4,A92,A101,1,A121,53,A141,A152,1,A174,A192,A201,2
A11,12,A32,A42,2577,1,A61,A73,2,A91,A101,1,A123,42,A143,A152,1,A173,A191,A201,1
A11,6,A34,A43,338,1,A63,A75,4,A93,A101,4,A123,52,A143,A152,2,A173,A191,A201,1
A14,12,A32,A43,1963,1,A61,A74,4,A93,A101,2,A123,31,A143,A151,2,A174,A192,A201,1
A11,21,A34,A40,571,1,A61,A75,4,A93,A101,4,A121,65,A143,A152,2,A173,A191,A201,1
A14,36,A33,A49,9572,3,A61,A72,1,A91,A101,1,A123,28,A143,A152,2,A173,A191,A201,2
A12,36,A33,A49,4455,2,A61,A73,2,A91,A101,2,A121,30,A142,A152,2,A174,A192,A201,2
A11,21,A31,A40,1647,1,A65,A73,4,A93,A101,2,A122,40,A143,A152,2,A172,A191,A201,2
A14,24,A34,A42,3777,1,A64,A73,4,A93,A101,4,A121,50,A143,A152,1,A173,A192,A201,1
A12,18,A34,A40,884,1,A61,A75,4,A93,A101,4,A123,36,A141,A152,1,A173,A192,A201,2
A14,15,A34,A43,1360,1,A61,A73,4,A93,A101,2,A122,31,A143,A152,2,A173,A191,A201,1
A12,9,A31,A41,5129,2,A61,A75,2,A92,A101,4,A124,74,A141,A153,1,A174,A192,A201,2
A12,16,A34,A40,1175,1,A61,A71,2,A93,A101,3,A123,68,A143,A153,3,A171,A192,A201,1
A11,12,A32,A43,674,1,A62,A74,4,A94,A101,1,A122,20,A143,A152,1,A173,A191,A201,2
A12,18,A30,A42,3244,1,A61,A73,1,A92,A101,4,A123,33,A141,A152,2,A173,A192,A201,1
A14,24,A32,A49,4591,2,A64,A73,2,A93,A101,3,A122,54,A143,A152,3,A174,A192,A201,2
A12,48,A30,A49,3844,1,A62,A74,4,A93,A101,4,A124,34,A143,A153,1,A172,A191,A201,2
A12,27,A32,A49,3915,2,A61,A73,4,A93,A101,2,A123,36,A143,A152,1,A173,A192,A201,2
A14,6,A32,A43,2108,1,A61,A74,2,A94,A101,2,A121,29,A143,A151,1,A173,A191,A201,1
A12,45,A32,A43,3031,1,A62,A73,4,A93,A103,4,A122,21,A143,A151,1,A173,A191,A201,2
A12,9,A34,A46,1501,1,A61,A75,2,A92,A101,3,A123,34,A143,A152,2,A174,A192,A201,2
